t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.19983213559117616,0.22417869892607295,0.2,0.8066943762801697,0.8885151975593589,0.7975999796613237,0.7260399999999999,0.30826992813547055,0.6896297665184652,0.3528948203386764,0.2768405822476554,0.20553681164495313,0.191,0.4150683057129732,0.4598518825836806,0.5931241001961285
1,0.21361548524525573,0.24424502837770504,0.2,0.8734618684103365,1.0,0.8452238471796155,0.7495869999999999,0.31804750904679907,0.8245586171853193,0.405261002108531,0.3117228027789316,0.2117158995840822,0.19140500000000002,0.5533981947461365,0.615000615818638,0.7248992734458423
2,0.20919188597919444,0.2422324996665417,0.2,0.9432537741717848,1.0,0.8955479223450422,0.772504621,0.3272753014793808,0.9542161882536286,0.45434314789998365,0.3519989756422586,0.21863872010108656,0.191386775,0.652557023318592,0.7273050521072698,0.8203626005411793
3,0.15232041826268916,0.19656226543781055,0.2,1.0,1.0,0.9563150106512132,0.794731246975,0.33286190802315757,1.0,0.49244056465938785,0.38845037162752344,0.22622134033262617,0.19138759512500003,0.760013420915749,0.8485562520089772,0.9234259154263805
4,0.2254685373598651,0.21489745531369242,0.2,1.0,1.0,1.0,0.816291230158525,0.34269765568484556,1.0,0.5396053240167231,0.43182880387077366,0.23459570300671537,0.19138755821937503,0.816291230158525,0.9142006119845237,0.9792236306320016
5,0.22207203934004982,0.16132059646531444,0.2,1.0,1.0,1.0,0.8372044068270944,0.35208372341269706,1.0,0.5839023709025097,0.47451867538961395,0.2437401194844405,0.19138755988012812,0.8372044068270944,0.9403725225117151,1.0
6,0.1875255238225731,0.17465728326198304,0.2,1.0,1.0,1.0,0.8574901885114818,0.35916234835255334,1.0,0.6208025881074175,0.513318014881631,0.2535690785872287,0.19138755980539424,0.8574901885114818,0.9652825549397519,1.0
7,0.19350086873887443,0.20739411879281008,0.2,1.0,1.0,1.0,0.8764101427104604,0.3644606153847273,1.0,0.6497027155589145,0.5513567430062486,0.2640605226614814,0.19156672085465545,0.8764101427104604,0.9882060856900453,1.0
8,0.15104913516711216,0.17167298004638482,0.2,1.0,1.0,1.0,0.893742861073388,0.36433608844622384,1.0,0.6609929819590703,0.5832219645013195,0.27508435672489295,0.1918079599422142,0.893742861073388,1.0,1.0
9,0.17235858928088882,0.2416345371808552,0.2,1.0,1.0,1.0,0.9101873109406386,0.3644047196374929,1.0,0.6710869186764563,0.6153613126645798,0.28664073941093565,0.19189509407741664,0.9101873109406386,1.0,1.0
10,0.21125803613033134,0.16596042123580385,0.2,1.0,1.0,1.0,0.9257855763798072,0.3658450786954884,1.0,0.6830891549512843,0.649435307602282,0.2987630381688719,0.1919785761591354,0.9257855763798072,1.0,1.0
11,0.21377175931449635,0.16387674183989032,0.2,1.0,1.0,1.0,0.9404923898506037,0.3662601247728907,1.0,0.6907996013295723,0.6817951057540055,0.3114113099022633,0.19207877426762052,0.9404923898506037,1.0,1.0
12,0.19939620163728933,0.162669923255027,0.2,1.0,1.0,1.0,0.9544937844213607,0.3650652509167676,1.0,0.6933541413266752,0.7108831783110381,0.3245148603694614,0.19214128558368887,0.9544937844213607,1.0,1.0
13,0.15014198897620276,0.23714047447242823,0.2,1.0,1.0,1.0,0.9679925908712687,0.3606979386628594,1.0,0.6875266224110873,0.7335109323647255,0.3379399304130613,0.1921608154615421,0.9679925908712687,1.0,1.0
14,0.16675651059960941,0.17154811692247324,0.2,1.0,1.0,1.0,0.9813027908524377,0.35798434437239673,1.0,0.6864578714677528,0.7563255163710099,0.3516870414363509,0.19210962672540052,0.9813027908524377,1.0,1.0
15,0.22859368870607402,0.2372407765436802,0.2,1.0,1.0,1.0,0.9942438522632754,0.3591546439027848,1.0,0.695080653619765,0.7837213464985561,0.3658445979519585,0.1921024893210384,0.9942438522632754,1.0,1.0
16,0.17314441341975412,0.24614779889500837,0.2,1.0,1.0,1.0,1.0,0.3561562298983562,1.0,0.6920321395220178,0.8042047112830439,0.3802702461980998,0.19217732334165155,1.0,1.0,1.0
17,0.19313787750966485,0.21778304772505924,0.2,1.0,1.0,1.0,1.0,0.35471253083024373,1.0,0.6931680362361033,0.8253536624200454,0.3949746169845197,0.19214791251018928,1.0,1.0,1.0
18,0.1663823611627034,0.2440976001087999,0.2,1.0,1.0,1.0,1.0,0.35159535897054695,1.0,0.6898489285867209,0.8426719861047737,0.40987831053676993,0.19215893590243635,1.0,1.0,1.0
19,0.20525135528855265,0.24665643123171954,0.2,1.0,1.0,1.0,1.0,0.35120019200611086,1.0,0.6936511239596591,0.8626618551652137,0.4250327645347065,0.19212978523730428,1.0,1.0,1.0
20,0.22149933420611828,0.1798788897853868,0.2,1.0,1.0,1.0,1.0,0.35143406907096036,1.0,0.6984117480258298,0.8830420388004596,0.44044327766536867,0.1921638523293334,1.0,1.0,1.0
21,0.17889519477779073,0.16659560571297458,0.2,1.0,1.0,1.0,1.0,0.34865353737894206,1.0,0.694929881085168,0.8981445232723066,0.4560017353541611,0.19220362977285985,1.0,1.0,1.0
22,0.1616561527632546,0.15651397133756764,0.2,1.0,1.0,1.0,1.0,0.34523263663535536,1.0,0.6902162784613468,0.9106558498074533,0.4716548349967686,0.19217190070755272,1.0,1.0,1.0
23,0.174108728061557,0.21031099974076545,0.2,1.0,1.0,1.0,1.0,0.3430920618609163,1.0,0.6892041307888505,0.923572805906646,0.4874097427649338,0.1921324309849607,1.0,1.0,1.0
24,0.15027064954994854,0.21779342495476914,0.2,1.0,1.0,1.0,1.0,0.3396740495907409,1.0,0.6850101527214849,0.9334124066616525,0.5032038934705175,0.1921252958982831,1.0,1.0,1.0
25,0.17703174893022922,0.1809957931603129,0.2,1.0,1.0,1.0,1.0,0.33834338196535985,1.0,0.6864616749458177,0.9452017894926703,0.5190758903256658,0.1920893287181461,1.0,1.0,1.0
26,0.21548144597176566,0.1980745186630039,0.2,1.0,1.0,1.0,1.0,0.33921960735743056,1.0,0.6931162414091767,0.9600020441555205,0.5350851723055196,0.1921033566371919,1.0,1.0,1.0
27,0.17526344846771552,0.1981218386236864,0.2,1.0,1.0,1.0,1.0,0.3370318867763745,1.0,0.6911496612935879,0.9700954457023677,0.5511362294965118,0.19216030636527276,1.0,1.0,1.0
28,0.20637353073127274,0.155700092953579,0.2,1.0,1.0,1.0,1.0,0.3369453326689561,1.0,0.694614240217339,0.9825573937649036,0.5672760150768448,0.19214097682132975,1.0,1.0,1.0
29,0.2280079650515388,0.15228655632527208,0.2,1.0,1.0,1.0,1.0,0.33783416950122586,1.0,0.69997648808717,0.9963751146478613,0.5835307572190336,0.1921717233071857,1.0,1.0,1.0
30,0.20998360178330186,0.23448808893881298,0.2,1.0,1.0,1.0,1.0,0.337110598638745,1.0,0.7005492190264421,1.0,0.5996954496468433,0.1922168418814427,1.0,1.0,1.0
31,0.1514454028302824,0.22877383039804344,0.2,1.0,1.0,1.0,1.0,0.3328343795375767,1.0,0.6921182302525206,1.0,0.6156984951503749,0.19221996851540596,1.0,1.0,1.0
32,0.17929475806734885,0.20785188290568746,0.2,1.0,1.0,1.0,1.0,0.3311308298315176,1.0,0.6911439639360785,1.0,0.6315415101988712,0.1921469147661543,1.0,1.0,1.0
33,0.15072627094556226,0.15467271186989417,0.2,1.0,1.0,1.0,1.0,0.3278548198858846,1.0,0.6862637356730423,1.0,0.6472260950968824,0.19214147525166744,1.0,1.0,1.0
34,0.16447355903608382,0.24551798995911664,0.2,1.0,1.0,1.0,1.0,0.3259463280113077,1.0,0.6853438527933473,1.0,0.6627538341459136,0.19209950147815721,1.0,1.0,1.0
35,0.16572173364104065,0.2255736412451318,0.2,1.0,1.0,1.0,1.0,0.3242513172100461,1.0,0.6849692033046254,1.0,0.6781262958044545,0.19209327545439514,1.0,1.0,1.0
36,0.22437242556780168,0.24420438294276994,0.2,1.0,1.0,1.0,1.0,0.3261536677853922,1.0,0.6935379130314459,1.0,0.6933450328464099,0.19209029317045134,1.0,1.0,1.0
37,0.17755054504424095,0.18547932050579125,0.2,1.0,1.0,1.0,1.0,0.3243913379593103,1.0,0.6917504468384362,1.0,0.7084115825179458,0.19216448443848402,1.0,1.0,1.0
38,0.1919761456554496,0.22756030146989953,0.2,1.0,1.0,1.0,1.0,0.3236998848726979,1.0,0.6928217145612897,1.0,0.7233274666927664,0.19214600117938513,1.0,1.0,1.0
39,0.15864422952518664,0.2248398056484663,0.2,1.0,1.0,1.0,1.0,0.3209265900793738,1.0,0.6884766026396841,1.0,0.7380941920258387,0.19215601940432814,1.0,1.0,1.0
40,0.21377813420730662,0.23596943191875802,0.2,1.0,1.0,1.0,1.0,0.3219394573381763,1.0,0.6940916123200978,1.0,0.7527132501055803,0.19211803815661996,1.0,1.0,1.0
41,0.1529305263954262,0.2445800185042184,0.2,1.0,1.0,1.0,1.0,0.3187503368612728,1.0,0.688395639226744,1.0,0.7671861176045245,0.19216813960141899,1.0,1.0,1.0
42,0.1572943891337415,0.18407405355042222,0.2,1.0,1.0,1.0,1.0,0.3164350300684656,1.0,0.6855695192024384,1.0,0.7815142564284793,0.19211684086719483,1.0,1.0,1.0
43,0.19886620304740993,0.24180871855333122,0.2,1.0,1.0,1.0,1.0,0.31694348331039485,1.0,0.690078678696716,1.0,0.7956991138641945,0.19209451271764263,1.0,1.0,1.0
44,0.17719676213006758,0.2424197619427791,0.2,1.0,1.0,1.0,1.0,0.3157160015568972,1.0,0.6895836375032403,1.0,0.8097421227255526,0.19213440982277835,1.0,1.0,1.0
45,0.1936115229678591,0.1812450369342907,0.2,1.0,1.0,1.0,1.0,0.31554685808226984,1.0,0.6917431668454482,1.0,0.823644701498297,0.1921284960274408,1.0,1.0,1.0
46,0.17534399885307017,0.16774777755049886,0.2,1.0,1.0,1.0,1.0,0.3140828113187746,1.0,0.6903226206991365,1.0,0.8374082544833141,0.19214740912877165,1.0,1.0,1.0
47,0.15625569857764587,0.16488680446232487,0.2,1.0,1.0,1.0,1.0,0.31164217837114017,1.0,0.6865912757946113,1.0,0.851034171938481,0.192134353179093,1.0,1.0,1.0
48,0.20513396698791,0.2496726814536704,0.2,1.0,1.0,1.0,1.0,0.3125484372787463,1.0,0.6916430884330673,1.0,0.8645238302190962,0.1921026262513996,1.0,1.0,1.0
49,0.1629223571539693,0.15485521635484564,0.2,1.0,1.0,1.0,1.0,0.31042603298716326,1.0,0.6883983496765241,1.0,0.8778785919169052,0.1921476013271472,1.0,1.0,1.0
50,0.22893592870274138,0.20335307413608344,0.2,1.0,1.0,1.0,1.0,0.312619089085588,1.0,0.6963175074275231,1.0,0.8910998059977362,0.1921177068286014,1.0,1.0,1.0
51,0.18247104169835238,0.17373366038542876,0.2,1.0,1.0,1.0,1.0,0.3112255207365906,1.0,0.6941868233814013,1.0,0.9041888079377588,0.19218739663216197,1.0,1.0,1.0
52,0.19751681765546375,0.23262955117986267,0.2,1.0,1.0,1.0,1.0,0.31096363172171715,1.0,0.6951414211792274,1.0,0.9171469198583813,0.19216613556877535,1.0,1.0,1.0
