t,pe,reward,u_exog,phi,g,p,i,s,v,a,mf,ms,u,ccog,cap,perf
0,0.19175871277699946,0.23066907771186793,0.2,0.8091433054050695,0.9046654311700141,0.8171985930834501,0.86552,0.32414552276661995,0.6805929376918235,0.34772380691654986,0.2774378803345487,0.20554875760669097,0.15800000000000003,0.5177476767657584,0.5764866337370123,0.7005136386764604
1,0.22683958194591014,0.17896253777644655,0.2,0.8797973299756184,1.0,0.8942646768953119,1.0,0.349792259614209,0.7966923708505336,0.39832355386260887,0.31465935472397577,0.21178645712510358,0.15800000000000003,0.7867716750240045,0.8830939997264903,0.9611298997675167
2,0.2112885950238362,0.22042198668434126,0.2,0.9556509634250487,1.0,0.9725074174883067,1.0,0.37386476882528397,0.9145743367501479,0.44406066542305384,0.3558824854344986,0.2187862422625425,0.15800000000000003,0.9293776504607064,1.0,1.0
3,0.20291064457790642,0.1610162048917212,0.2,1.0,1.0,1.0,1.0,0.3968327882793262,1.0,0.4862542288385871,0.3999254184789251,0.22659688820949558,0.15800000000000003,1.0,1.0,1.0
4,0.15215494230324214,0.18841711045442977,0.2,1.0,1.0,1.0,1.0,0.4161812651105376,1.0,0.5187247587421441,0.4380543696302863,0.23509200672000635,0.15800000000000003,1.0,1.0,1.0
5,0.20971161569331076,0.1752383767513222,0.2,1.0,1.0,1.0,1.0,0.43849943042437284,1.0,0.5582052631590335,0.48172564161669473,0.2443755994851402,0.15800000000000003,1.0,1.0,1.0
6,0.1901282136454427,0.18174350905457498,0.2,1.0,1.0,1.0,1.0,0.45908463748249007,1.0,0.5927742320478983,0.5227046048011784,0.25438593558631234,0.15800000000000003,1.0,1.0,1.0
7,0.21770622473027393,0.24451939145048895,0.2,1.0,1.0,1.0,1.0,0.48080989502924426,1.0,0.6297514541550444,0.5659518232857772,0.26516111269616477,0.15800000000000003,1.0,1.0,1.0
8,0.18212727495285355,0.2498447005087021,0.2,1.0,1.0,1.0,1.0,0.4998572841506844,1.0,0.6595429726902202,0.6046906346342349,0.27660331426188783,0.15800000000000003,1.0,1.0,1.0
9,0.15497542330019573,0.23126090004416155,0.2,1.0,1.0,1.0,1.0,0.5167993774449291,1.0,0.6837721375507385,0.6397254588906401,0.2886317902970818,0.15800000000000003,1.0,1.0,1.0
10,0.22002532017026244,0.16509154802769802,0.2,1.0,1.0,1.0,1.0,0.5372209122190216,1.0,0.7165473286987409,0.6808679938037897,0.3013628322701868,0.15800000000000003,1.0,1.0,1.0
11,0.20644548924735606,0.20588918686046748,0.2,1.0,1.0,1.0,1.0,0.5563171187683874,1.0,0.7456467856509073,0.7197689440361996,0.31474458282820894,0.15800000000000003,1.0,1.0,1.0
12,0.2264150289808695,0.17100100094902224,0.2,1.0,1.0,1.0,1.0,0.5761340925380299,1.0,0.7762867007154922,0.7599673771017703,0.32879648454196225,0.15800000000000003,1.0,1.0,1.0
13,0.1931970680496099,0.23824561068087002,0.2,1.0,1.0,1.0,1.0,0.5934625643075558,1.0,0.8004119258871591,0.7957680882104821,0.3434238814607523,0.15800000000000003,1.0,1.0,1.0
14,0.2011018544847837,0.18091995299583252,0.2,1.0,1.0,1.0,1.0,0.610832111468954,1.0,0.8253831766830351,0.8315517780527306,0.3586206782071994,0.15800000000000003,1.0,1.0,0.9907186247012988
15,0.1565491083307794,0.24397760470117152,0.2,1.0,1.0,1.0,1.0,0.625094255182077,1.0,0.8435639245130664,0.8617594850180196,0.37426966112548776,0.15800000000000003,1.0,1.0,0.9824119716096648
